,Holder,Shares,Date Reported,% Out,Value,Target
8,"Mirae Asset Global Investments Co., Ltd.",2313203.0,2022-06-29,0.0197,483413162.0,ALB
9,"Geode Capital Management, LLC",2261531.0,2022-06-29,0.019299999999999998,472614748.0,ALB
0,"Vanguard Group, Inc. (The)",25495698.0,2022-06-29,0.15539999999999998,3697641080.0,ARE
1,Blackrock Inc.,15117169.0,2022-06-29,0.09210000000000002,2192443020.0,ARE
2,Norges Bank Investment Management,13487741.0,2021-12-30,0.08220000000000001,3007226733.0,ARE
3,State Street Corporation,10233331.0,2022-06-29,0.062400000000000004,1484139994.0,ARE
4,Apg Asset Management US Inc.,6852982.0,2022-06-29,0.0418,993887979.0,ARE
5,"Principal Financial Group, Inc.",5982503.0,2022-06-29,0.0365,867642410.0,ARE
6,JP Morgan Chase & Company,4044918.0,2022-06-29,0.024700000000000003,586634457.0,ARE
7,"Parnassus Investments, LLC",3787899.0,2022-06-29,0.0231,549358991.0,ARE
8,"Geode Capital Management, LLC",3255648.0,2022-06-29,0.019799999999999998,472166629.0,ARE
9,Canada Pension Plan Investment Board,3028145.0,2022-06-29,0.018500000000000003,439171869.0,ARE
0,"Vanguard Group, Inc. (The)",7323640.0,2022-06-29,0.09380000000000001,1733285878.0,ALGN
1,Blackrock Inc.,5610979.0,2022-06-29,0.0718,1327950399.0,ALGN
2,Edgewood Management Company,4112800.0,2022-06-29,0.0527,973376376.0,ALGN
3,State Street Corporation,3011288.0,2022-06-29,0.038599999999999995,712681530.0,ALGN
4,Price (T.Rowe) Associates Inc,2623458.0,2022-06-29,0.0336,620893804.0,ALGN
5,Janus Henderson Group PLC,2581447.0,2022-06-29,0.033,610951061.0,ALGN
6,"Sands Capital Management, LLC",2500535.0,2022-06-29,0.032,591801618.0,ALGN
7,"Wellington Management Group, LLP",2379298.0,2022-06-29,0.0305,563108457.0,ALGN
8,"Polen Capital Management, LLC",1918921.0,2022-06-29,0.0246,454151033.0,ALGN
9,"AllianceBernstein, L.P.",1906234.0,2022-06-29,0.024399999999999998,451148400.0,ALGN
0,"Vanguard Group, Inc. (The)",10508383.0,2022-06-29,0.11960000000000001,1028770695.0,ALLE
1,Blackrock Inc.,7318956.0,2022-06-29,0.0833,716525792.0,ALLE
2,Apg Asset Management N.V.,5403570.0,2022-06-29,0.061500000000000006,529009503.0,ALLE
3,State Street Corporation,4041527.0,2022-06-29,0.046,395665493.0,ALLE
4,Boston Partners,3152614.0,2022-06-29,0.0359,308640910.0,ALLE
5,Kayne Anderson Rudnick Investment Management LLC,3007238.0,2022-06-29,0.0342,294408600.0,ALLE
6,Pictet Asset Management SA,2924704.0,2022-06-29,0.0333,286328521.0,ALLE
7,AKO Capital LLP,2469441.0,2022-06-29,0.0281,241758273.0,ALLE
8,"Geode Capital Management, LLC",1926524.0,2022-06-29,0.0219,188606699.0,ALLE
9,Citadel Advisors Llc,1742173.0,2022-06-29,0.019799999999999998,170558736.0,ALLE
0,"Vanguard Group, Inc. (The)",31638690.0,2022-06-29,0.134,1854343620.0,LNT
1,Blackrock Inc.,21656916.0,2022-06-29,0.0917,1269311846.0,LNT
2,State Street Corporation,14102250.0,2022-06-29,0.059699999999999996,826532872.0,LNT
3,Victory Capital Management Inc.,7287187.0,2022-06-29,0.030899999999999997,427102030.0,LNT
4,"Geode Capital Management, LLC",5269034.0,2022-06-29,0.0223,308818082.0,LNT
5,Janus Henderson Group PLC,4955483.0,2022-06-29,0.021,290440858.0,LNT
6,Nuveen Asset Management,4822097.0,2022-06-29,0.0204,282623105.0,LNT
