Source,Target,Weight
Morgan Stanley,AMP,531464601
Ubs Asset Management Americas Inc,AMP,474338689
"Vanguard Group, Inc. (The)",ABC,2677929337
Blackrock Inc.,ABC,2432678991
JP Morgan Chase & Company,ABC,1064170823
State Street Corporation,ABC,965570440
"FMR, LLC",ABC,801437228
Boston Partners,ABC,640505001
Invesco Ltd.,ABC,543384499
"Geode Capital Management, LLC",ABC,416157053
FIL LTD,ABC,353008728
Morgan Stanley,ABC,312486734
"Vanguard Group, Inc. (The)",AME,2727528041
Blackrock Inc.,AME,1694070174
State Street Corporation,AME,982492973
Massachusetts Financial Services Co.,AME,900844593
JP Morgan Chase & Company,AME,611446970
"FMR, LLC",AME,549144395
"AllianceBernstein, L.P.",AME,534425509
"Alecta Pensionsforsakring, Omsesidigt",AME,514764869
"Geode Capital Management, LLC",AME,487708193
Capital International Investors,AME,446803729
Blackrock Inc.,AMGN,11392656801
"Vanguard Group, Inc. (The)",AMGN,11227958516
State Street Corporation,AMGN,7124049539
Primecap Management Company,AMGN,3804876246
Morgan Stanley,AMGN,3435389674
Capital Research Global Investors,AMGN,3429395248
"Geode Capital Management, LLC",AMGN,2602824859
"Charles Schwab Investment Management, Inc.",AMGN,2177201922
"FMR, LLC",AMGN,2168139727
Wells Fargo & Company,AMGN,1826915126
"Vanguard Group, Inc. (The)",APH,4494055106
"FMR, LLC",APH,3322964300
Blackrock Inc.,APH,2871420813
Bank Of New York Mellon Corporation,APH,1710841008
State Street Corporation,APH,1558421680
Price (T.Rowe) Associates Inc,APH,1375073878
"AllianceBernstein, L.P.",APH,1106423671
"Alecta Pensionsforsakring, Omsesidigt",APH,873185940
JP Morgan Chase & Company,APH,796590993
"Geode Capital Management, LLC",APH,738259623
"Vanguard Group, Inc. (The)",ADI,6682082532
Blackrock Inc.,ADI,5871325544
JP Morgan Chase & Company,ADI,3571765220
State Street Corporation,ADI,2945804632
Massachusetts Financial Services Co.,ADI,1563303830
"Wellington Management Group, LLP",ADI,1474672196
"Franklin Resources, Inc.",ADI,1379997257
"Geode Capital Management, LLC",ADI,1326976667
Invesco Ltd.,ADI,1292256625
"Ameriprise Financial, Inc.",ADI,1279154836
"Vanguard Group, Inc. (The)",ANSS,2299675487
Blackrock Inc.,ANSS,2091432407
"Aristotle Capital Management, LLC",ANSS,1080136156
State Street Corporation,ANSS,806271622
"FMR, LLC",ANSS,683786250
Massachusetts Financial Services Co.,ANSS,556996529
BAMCO Inc.,ANSS,453250196
"Geode Capital Management, LLC",ANSS,416931717
Ownership Capital B.V.,ANSS,298006036
"Select Equity Group, Inc.",ANSS,307936318
"Vanguard Group, Inc. (The)",AON,4833376746
Massachusetts Financial Services Co.,AON,4429304684
Blackrock Inc.,AON,3665157774
Capital World Investors,AON,2597101731
State Street Corporation,AON,2378569239
Capital International Investors,AON,1555808730
Mawer Investment Management Limited,AON,1448632504
"WCM Investment Management, LLC",AON,1414531733
Lazard Asset Management LLC,AON,1352849720
"Berkshire Hathaway, Inc",AON,1185513280
"Vanguard Group, Inc. (The)",APA,1454620517
Blackrock Inc.,APA,931543994
State Street Corporation,APA,797305367
Harris Associates L.P.,APA,581878870
"Hotchkis & Wiley Capital Management, LLC",APA,420420686
Invesco Ltd.,APA,405213220
"Geode Capital Management, LLC",APA,259804185
"FMR, LLC",APA,177785730
Bank of America Corporation,APA,169372073
"Shaw D.E. & Co., Inc.",APA,160463289
"Vanguard Group, Inc. (The)",AAPL,1.74635E+11
Blackrock Inc.,AAPL,1.40642E+11
"Berkshire Hathaway, Inc",AAPL,1.22337E+11
State Street Corporation,AAPL,81782967801
"FMR, LLC",AAPL,47075153405
"Geode Capital Management, LLC",AAPL,38043186570
Price (T.Rowe) Associates Inc,AAPL,32527162251
Morgan Stanley,AAPL,24944641246
Northern Trust Corporation,AAPL,24586210215
Bank of America Corporation,AAPL,20389588858
"Vanguard Group, Inc. (The)",AMAT,6694042010
Blackrock Inc.,AMAT,6413213407
State Street Corporation,AMAT,3538262148
Capital World Investors,AMAT,2944916881
Capital International Investors,AMAT,1728290561
"Geode Capital Management, LLC",AMAT,1500499022
Bank Of New York Mellon Corporation,AMAT,1153064871
"FMR, LLC",AMAT,1047250764
Northern Trust Corporation,AMAT,947347082
Nuveen Asset Management,AMAT,931493635
"Vanguard Group, Inc. (The)",APTV,2596824538
Blackrock Inc.,APTV,1885684046
Capital Research Global Investors,APTV,986113030
State Street Corporation,APTV,906428871
"AllianceBernstein, L.P.",APTV,745336513
Massachusetts Financial Services Co.,APTV,547030174
"ClearBridge Investments, LLC",APTV,526065857
"American Century Companies, Inc.",APTV,470730852
"Geode Capital Management, LLC",APTV,466503857
"Sands Capital Management, LLC",APTV,464012480
Artisan Partners Limited Partnership,ACGL,1587912970
"Vanguard Group, Inc. (The)",ACGL,1558719944
BAMCO Inc.,ACGL,977645969
Capital World Investors,ACGL,874646556
Blackrock Inc.,ACGL,831644358
"FPR Partners, LLC",ACGL,476586811
"Allspring Global Investments Holdings, LLC",ACGL,477399873
Capital Research Global Investors,ACGL,441196683
State Street Corporation,ACGL,367820221
"Wellington Management Group, LLP",ACGL,314874820
"Vanguard Group, Inc. (The)",ANET,2412575224
Blackrock Inc.,ANET,1659138943
"AllianceBernstein, L.P.",ANET,989245812
State Street Corporation,ANET,811998752
Capital World Investors,ANET,712238207
"Wellington Management Group, LLP",ANET,597073461
Artisan Partners Limited Partnership,ANET,536652500
"Geode Capital Management, LLC",ANET,423956304
Capital Research Global Investors,ANET,421266153
Eaton Vance Management,ANET,401771421
"Vanguard Group, Inc. (The)",AJG,4160286299
Blackrock Inc.,AJG,2657792973
"FMR, LLC",AJG,1668311854
State Street Corporation,AJG,1479780387
JP Morgan Chase & Company,AJG,1342674181
Baillie Gifford and Company,AJG,1221920433
Norges Bank Investment Management,AJG,1172680991
Capital International Investors,AJG,1105366200
Massachusetts Financial Services Co.,AJG,853383804
"Geode Capital Management, LLC",AJG,714346390
"Vanguard Group, Inc. (The)",AIZ,1150394359
Price (T.Rowe) Associates Inc,AIZ,1068193640
Blackrock Inc.,AIZ,875320869
"FMR, LLC",AIZ,619188455
State Street Corporation,AIZ,500851369
Bank Of New York Mellon Corporation,AIZ,371137643
Invesco Ltd.,AIZ,288804694
"Geode Capital Management, LLC",AIZ,201035958
Massachusetts Financial Services Co.,AIZ,185769846
Lyrical Asset Management LP,AIZ,173822454
"Vanguard Group, Inc. (The)",ATO,1973879780
Blackrock Inc.,ATO,1516084455
State Street Corporation,ATO,1168880824
"Aristotle Capital Management, LLC",ATO,1122906596
